agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,4,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,16,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,64,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,256,True,random-32-32-20-random-3.scen,20
80,random-32-32-20.map,planner,1,2165,1623,45,42,1935,1623,1,0,0,False,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2165,1623,45,42,1935,1623,1,0,0,True,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,1,0,1,True,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,2,0,4,True,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,1,0,16,True,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,1,0,64,True,random-32-32-20-random-3.scen,80
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,1,0,256,True,random-32-32-20-random-3.scen,80
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,7,0,0,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,7,0,0,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4901,2990,71,42,4259,2990,15,0,1,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4858,2990,72,42,4298,2990,35,0,4,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4978,2990,70,42,4281,2990,101,0,16,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4847,2990,60,42,4161,2990,359,0,64,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,5056,2990,70,42,4333,2990,1360,0,256,True,random-32-32-20-random-3.scen,140
200,random-32-32-20.map,planner,1,8793,4300,111,56,7237,4300,45,0,0,False,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8793,4300,111,56,7237,4300,47,0,0,True,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8298,4300,104,56,6980,4300,31,0,1,True,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8499,4300,105,56,7080,4300,296,0,4,True,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8064,4300,96,56,6884,4300,270,0,16,True,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8170,4300,78,56,7014,4300,867,0,64,True,random-32-32-20-random-3.scen,200
200,random-32-32-20.map,planner,1,8024,4300,102,56,6905,4300,2418,0,256,True,random-32-32-20-random-3.scen,200
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,57,0,0,False,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,57,0,0,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13144,5731,123,56,10971,5731,170,0,1,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,12667,5731,137,56,10788,5731,329,0,4,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13671,5731,123,56,11257,5731,469,0,16,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13386,5731,108,56,11482,5731,1509,0,64,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13382,5731,137,56,10975,5731,5543,0,256,True,random-32-32-20-random-3.scen,260
320,random-32-32-20.map,planner,1,22015,7017,198,56,17412,7017,394,0,0,False,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,22015,7017,198,56,17412,7017,382,0,0,True,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,24119,7017,216,56,17430,7017,297,0,1,True,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,23091,7017,207,56,17466,7017,1891,0,4,True,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,24644,7017,212,56,17843,7017,830,0,16,True,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,23206,7017,213,56,17604,7017,2727,0,64,True,random-32-32-20-random-3.scen,320
320,random-32-32-20.map,planner,1,21916,7017,166,56,17422,7017,10660,0,256,True,random-32-32-20-random-3.scen,320
380,random-32-32-20.map,planner,1,33129,8390,253,56,24686,8390,7535,0,0,False,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,33129,8390,253,56,24686,8390,7637,0,0,True,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,30081,8390,205,56,23807,8390,2983,0,1,True,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,39611,8390,305,56,26514,8390,2257,0,4,True,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,30925,8390,207,56,23861,8390,1730,0,16,True,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,34898,8390,242,56,25793,8390,7334,0,64,True,random-32-32-20-random-3.scen,380
380,random-32-32-20.map,planner,1,35466,8390,235,56,26281,8390,19246,0,256,True,random-32-32-20-random-3.scen,380
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,0,False,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,0,True,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,1,True,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,4,True,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,16,True,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,64,True,random-32-32-20-random-2.scen,20
20,random-32-32-20.map,planner,1,409,388,47,47,399,388,0,0,256,True,random-32-32-20-random-2.scen,20
80,random-32-32-20.map,planner,1,2589,1746,58,51,2254,1746,1,0,0,False,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2589,1746,58,51,2254,1746,2,0,0,True,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2466,1746,51,51,2200,1746,2,0,1,True,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2466,1746,51,51,2200,1746,2,0,4,True,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2466,1746,51,51,2200,1746,1,0,16,True,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2466,1746,51,51,2200,1746,1,0,64,True,random-32-32-20-random-2.scen,80
80,random-32-32-20.map,planner,1,2466,1746,51,51,2200,1746,1,0,256,True,random-32-32-20-random-2.scen,80
140,random-32-32-20.map,planner,1,4795,3063,60,51,4257,3063,6,0,0,False,random-32-32-20-random-2.scen,140
140,random-32-32-20.map,planner,1,4795,3063,60,51,4257,3063,6,0,0,True,random-32-32-20-random-2.scen,140
