agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,4,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,16,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,64,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,256,True,den520d-random-17.scen,20
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,60,0,0,False,den520d-random-17.scen,140
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,59,0,0,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,58,0,1,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,59,0,4,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,57,0,16,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,58,0,64,True,den520d-random-17.scen,140
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,62,0,256,True,den520d-random-17.scen,140
260,den520d.map,planner,1,50604,44016,410,410,45230,44016,128,0,0,False,den520d-random-17.scen,260
260,den520d.map,planner,1,50604,44016,410,410,45230,44016,127,0,0,True,den520d-random-17.scen,260
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,127,0,1,True,den520d-random-17.scen,260
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,124,0,4,True,den520d-random-17.scen,260
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,124,0,16,True,den520d-random-17.scen,260
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,121,0,64,True,den520d-random-17.scen,260
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,124,0,256,True,den520d-random-17.scen,260
380,den520d.map,planner,1,76851,63787,410,410,66198,63787,199,0,0,False,den520d-random-17.scen,380
380,den520d.map,planner,1,76851,63787,410,410,66198,63787,200,0,0,True,den520d-random-17.scen,380
