agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-3.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-2.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-24.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-4.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-1.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-6.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-10.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,False,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1,True,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,False,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,10,True,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,False,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,100,True,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,False,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,1000,True,random-32-32-20-random-19.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,False,random-32-32-20-random-20.scen
150,random-32-32-20.map,planner,1,5142,3398,68,49,4543,3398,45,0,0,True,random-32-32-20-random-20.scen
