agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,100,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,100,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1000,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1000,True,random-32-32-20-random-3.scen,20
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,0,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,0,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,1,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1504,1229,43,42,1405,1229,1,0,1,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,10,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1504,1229,43,42,1405,1229,1,0,10,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,100,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1504,1229,43,42,1405,1229,1,0,100,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,1000,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1504,1229,43,42,1405,1229,1,0,1000,True,random-32-32-20-random-3.scen,60
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,2,0,0,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,2,0,0,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,1,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2897,2083,48,42,2572,2083,2,0,1,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,10,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2897,2083,48,42,2572,2083,2,0,10,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,100,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2897,2083,48,42,2572,2083,2,0,100,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,1000,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2897,2083,48,42,2572,2083,2,0,1000,True,random-32-32-20-random-3.scen,100
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,0,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,0,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,1,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,5467,2990,116,42,4453,2990,22,0,1,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,10,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,5177,2990,99,42,4312,2990,86,0,10,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,100,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4749,2990,81,42,4092,2990,815,0,100,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,1000,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,5423,2990,107,42,4374,2990,4603,0,1000,True,random-32-32-20-random-3.scen,140
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,0,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,0,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,1,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,1,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,26,0,10,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,26,0,10,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,100,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,100,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,1000,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,25,0,1000,True,random-32-32-20-random-3.scen,180
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,86,0,0,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,89,0,0,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,88,0,1,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,88,0,1,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,90,0,10,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,90,0,10,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,87,0,100,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,11583,4752,174,56,9016,4752,3531,0,100,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,88,0,1000,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,88,0,1000,True,random-32-32-20-random-3.scen,220
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,23,0,0,False,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,24,0,0,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,23,0,1,False,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,23,0,1,True,random-32-32-20-random-3.scen,260
