agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,12,0,0,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,0,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,1,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,12,0,1,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,10,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,10,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,18,0,100,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,16,0,100,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,18,0,1000,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,19,0,1000,True,den520d-random-17.scen,20
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,44,0,0,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,43,0,0,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,43,0,1,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,41,0,1,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,43,0,10,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,40,0,10,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,42,0,100,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,40,0,100,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,42,0,1000,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,45,0,1000,True,den520d-random-17.scen,60
