agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,3,0,0,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,3,0,0,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1000,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1000,True,ht_chantry-random-5.scen,20
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,8,0,0,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,8,0,0,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,7,0,1,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,7080,6141,203,203,6408,6141,8,0,1,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,8,0,10,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,7080,6141,203,203,6408,6141,7,0,10,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,7,0,100,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,7080,6141,203,203,6408,6141,8,0,100,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,8,0,1000,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,7080,6141,203,203,6408,6141,8,0,1000,True,ht_chantry-random-5.scen,60
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,14,0,0,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,13,0,0,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,15,0,1,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11589,9892,209,203,10466,9892,15,0,1,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,14,0,10,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11589,9892,209,203,10466,9892,14,0,10,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,13,0,100,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11589,9892,209,203,10466,9892,14,0,100,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,13,0,1000,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11589,9892,209,203,10466,9892,26,0,1000,True,ht_chantry-random-5.scen,100
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,20,0,0,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,20,0,0,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,20,0,1,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17238,14076,203,203,14974,14076,23,0,1,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,18,0,10,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17238,14076,203,203,14974,14076,21,0,10,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,20,0,100,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17238,14076,203,203,14974,14076,21,0,100,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,21,0,1000,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17238,14076,203,203,14974,14076,23,0,1000,True,ht_chantry-random-5.scen,140
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,25,0,0,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,27,0,0,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,27,0,1,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,21716,17785,203,203,19056,17785,38,0,1,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,26,0,10,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,21711,17785,203,203,19009,17785,34,0,10,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,26,0,100,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,21711,17785,203,203,19009,17785,32,0,100,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,26,0,1000,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,21711,17785,203,203,19009,17785,33,0,1000,True,ht_chantry-random-5.scen,180
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,31,0,0,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,30,0,0,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,30,0,1,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27007,21429,211,203,23150,21429,59,0,1,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,30,0,10,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27395,21429,210,203,23080,21429,185,0,10,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,33,0,100,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,26857,21429,213,203,23041,21429,532,0,100,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,33,0,1000,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27302,21429,212,203,23066,21429,1793,0,1000,True,ht_chantry-random-5.scen,220
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,37,0,0,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,38,0,0,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,38,0,1,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,32576,25650,206,203,27845,25650,78,0,1,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,37,0,10,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,32386,25650,205,203,27871,25650,384,0,10,True,ht_chantry-random-5.scen,260
