agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Experiment_Number
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,0,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,0,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,0,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,0,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,0,False,10
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,109,0,0,True,1
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,110,0,0,True,2
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,109,0,0,True,3
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,110,0,0,True,4
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,111,0,0,True,5
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,110,0,0,True,6
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,110,0,0,True,7
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,109,0,0,True,8
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,109,0,0,True,9
150,random-32-32-20.map,planner,1,5301,3398,75,49,4600,3398,109,0,0,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,1,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,1,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,1,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,1,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,1,False,10
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,113,0,1,True,1
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,2
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,3
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,113,0,1,True,4
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,5
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,111,0,1,True,6
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,7
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,8
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,112,0,1,True,9
150,random-32-32-20.map,planner,1,4960,3398,63,49,4415,3398,111,0,1,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,2,False,10
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,674,0,2,True,1
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,685,0,2,True,2
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,674,0,2,True,3
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,675,0,2,True,4
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,678,0,2,True,5
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,669,0,2,True,6
150,random-32-32-20.map,planner,1,5093,3398,73,49,4481,3398,846,0,2,True,7
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,674,0,2,True,8
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,683,0,2,True,9
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,671,0,2,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,3,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,3,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,3,False,10
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,257,0,3,True,1
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,252,0,3,True,2
150,random-32-32-20.map,planner,1,6287,3398,133,49,4953,3398,713,0,3,True,3
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,255,0,3,True,4
150,random-32-32-20.map,planner,1,5104,3398,79,49,4538,3398,308,0,3,True,5
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,262,0,3,True,6
150,random-32-32-20.map,planner,1,5200,3398,82,49,4555,3398,292,0,3,True,7
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,255,0,3,True,8
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,255,0,3,True,9
150,random-32-32-20.map,planner,1,6326,3398,133,49,4963,3398,256,0,3,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,4,False,10
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,9023,0,4,True,1
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,9035,0,4,True,2
150,random-32-32-20.map,planner,1,5543,3398,106,49,4854,3398,2576,0,4,True,3
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,9065,0,4,True,4
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,8885,0,4,True,5
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,9001,0,4,True,6
150,random-32-32-20.map,planner,1,5543,3398,106,49,4854,3398,2514,0,4,True,7
150,random-32-32-20.map,planner,1,5623,3398,85,49,4640,3398,1019,0,4,True,8
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,9176,0,4,True,9
150,random-32-32-20.map,planner,1,5290,3398,86,49,4548,3398,8500,0,4,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,5,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,5,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,5,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,5,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,5,False,10
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,994,0,5,True,1
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,669,0,5,True,2
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,666,0,5,True,3
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,656,0,5,True,4
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,994,0,5,True,5
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,654,0,5,True,6
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,679,0,5,True,7
150,random-32-32-20.map,planner,1,5583,3398,100,49,4791,3398,685,0,5,True,8
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,647,0,5,True,9
150,random-32-32-20.map,planner,1,5302,3398,79,49,4556,3398,671,0,5,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,6,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,6,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,6,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,6,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,6,False,10
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,986,0,6,True,1
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,976,0,6,True,2
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1031,0,6,True,3
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1016,0,6,True,4
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1004,0,6,True,5
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,984,0,6,True,6
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,954,0,6,True,7
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,988,0,6,True,8
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,980,0,6,True,9
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,999,0,6,True,10
