agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,4,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6793,5554,195,194,6168,5554,13,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,4,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,7021,5554,194,194,6236,5554,95,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,4,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6974,5554,237,194,6239,5554,2405,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60
60,warehouse-10-20-10-2-1.map,planner,1,6803,5554,194,194,6189,5554,16005,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,60
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,469,0,0,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,491,0,0,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,480,0,1,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11679,8918,222,194,10640,8918,653,0,1,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,473,0,10,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,12141,8918,206,194,10602,8918,339,0,10,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,475,0,100,False,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,12023,8918,267,194,10781,8918,3776,0,100,True,warehouse-10-20-10-2-1-random-16.scen,100
100,warehouse-10-20-10-2-1.map,planner,1,11936,8918,239,194,10688,8918,482,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,100
