agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,100,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,100,True,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1000,False,random-32-32-20-random-3.scen,20
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1000,True,random-32-32-20-random-3.scen,20
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,0,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,0,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,1,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1486,1229,42,42,1406,1229,0,0,1,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,10,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1486,1229,42,42,1406,1229,0,0,10,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,100,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1486,1229,42,42,1406,1229,1,0,100,True,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,0,0,1000,False,random-32-32-20-random-3.scen,60
60,random-32-32-20.map,planner,1,1486,1229,42,42,1406,1229,0,0,1000,True,random-32-32-20-random-3.scen,60
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,0,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,0,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,1,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2921,2083,51,42,2561,2083,2,0,1,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,10,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,3002,2083,58,42,2623,2083,3,0,10,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,100,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,3002,2083,58,42,2623,2083,3,0,100,True,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,1000,False,random-32-32-20-random-3.scen,100
100,random-32-32-20.map,planner,1,3002,2083,58,42,2623,2083,3,0,1000,True,random-32-32-20-random-3.scen,100
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,3,0,0,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,4,0,0,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,3,0,1,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4909,2990,83,42,4147,2990,11,0,1,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,3,0,10,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4971,2990,85,42,4185,2990,25,0,10,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,3,0,100,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4895,2990,81,42,4157,2990,127,0,100,True,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4916,2990,63,42,4254,2990,3,0,1000,False,random-32-32-20-random-3.scen,140
140,random-32-32-20.map,planner,1,4750,2990,75,42,4118,2990,402,0,1000,True,random-32-32-20-random-3.scen,140
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,21,0,0,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,21,0,0,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,20,0,1,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7901,3862,139,42,6605,3862,51,0,1,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,19,0,10,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7664,3862,114,42,6280,3862,91,0,10,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,20,0,100,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,8083,3862,129,42,6355,3862,840,0,100,True,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7162,3862,85,42,6170,3862,19,0,1000,False,random-32-32-20-random-3.scen,180
180,random-32-32-20.map,planner,1,7500,3862,127,42,6251,3862,6655,0,1000,True,random-32-32-20-random-3.scen,180
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,64,0,0,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,68,0,0,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,65,0,1,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,11338,4752,153,56,9073,4752,37,0,1,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,66,0,10,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,11533,4752,153,56,9147,4752,177,0,10,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,64,0,100,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,11974,4752,179,56,9164,4752,1185,0,100,True,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,9758,4752,93,56,8342,4752,68,0,1000,False,random-32-32-20-random-3.scen,220
220,random-32-32-20.map,planner,1,12057,4752,173,56,9089,4752,14781,0,1000,True,random-32-32-20-random-3.scen,220
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,19,0,0,False,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,20,0,0,True,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,13093,5731,93,56,11157,5731,19,0,1,False,random-32-32-20-random-3.scen,260
260,random-32-32-20.map,planner,1,15083,5731,182,56,12083,5731,89,0,1,True,random-32-32-20-random-3.scen,260
