agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,True,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1000,False,ht_chantry-random-5.scen,20
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1000,True,ht_chantry-random-5.scen,20
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,7,0,0,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,6,0,0,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,7,0,1,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6810,6141,203,203,6390,6141,6,0,1,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,6,0,10,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6810,6141,203,203,6390,6141,6,0,10,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,6,0,100,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6810,6141,203,203,6390,6141,7,0,100,True,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6525,6141,203,203,6398,6141,6,0,1000,False,ht_chantry-random-5.scen,60
60,ht_chantry.map,planner,1,6810,6141,203,203,6390,6141,6,0,1000,True,ht_chantry-random-5.scen,60
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,10,0,0,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,11,0,0,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,10,0,1,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11489,9892,206,203,10479,9892,11,0,1,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,11,0,10,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11489,9892,206,203,10479,9892,10,0,10,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,12,0,100,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11489,9892,206,203,10479,9892,12,0,100,True,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,10,0,1000,False,ht_chantry-random-5.scen,100
100,ht_chantry.map,planner,1,11489,9892,206,203,10479,9892,12,0,1000,True,ht_chantry-random-5.scen,100
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,17,0,0,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,14,0,0,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,15,0,1,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17083,14076,206,203,15122,14076,17,0,1,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,17,0,10,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17241,14076,208,203,15084,14076,17,0,10,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,17,0,100,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17241,14076,208,203,15084,14076,18,0,100,True,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17460,14076,203,203,15323,14076,14,0,1000,False,ht_chantry-random-5.scen,140
140,ht_chantry.map,planner,1,17241,14076,208,203,15084,14076,16,0,1000,True,ht_chantry-random-5.scen,140
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,18,0,0,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,21,0,0,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,21,0,1,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22270,17785,205,203,19346,17785,24,0,1,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,21,0,10,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,21956,17785,209,203,19235,17785,37,0,10,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,18,0,100,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22163,17785,211,203,19227,17785,43,0,100,True,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,20,0,1000,False,ht_chantry-random-5.scen,180
180,ht_chantry.map,planner,1,22163,17785,211,203,19227,17785,42,0,1000,True,ht_chantry-random-5.scen,180
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,24,0,0,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,21,0,0,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,24,0,1,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27741,21429,212,203,23491,21429,33,0,1,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,23,0,10,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27414,21429,213,203,23414,21429,72,0,10,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,23,0,100,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27500,21429,214,203,23361,21429,239,0,100,True,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27865,21429,203,203,23723,21429,24,0,1000,False,ht_chantry-random-5.scen,220
220,ht_chantry.map,planner,1,27571,21429,212,203,23359,21429,748,0,1000,True,ht_chantry-random-5.scen,220
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,29,0,0,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,28,0,0,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,31,0,1,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33359,25650,203,203,28391,25650,40,0,1,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,31,0,10,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,32849,25650,204,203,28259,25650,107,0,10,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,27,0,100,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33202,25650,204,203,28212,25650,376,0,100,True,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,33987,25650,203,203,29117,25650,30,0,1000,False,ht_chantry-random-5.scen,260
260,ht_chantry.map,planner,1,32773,25650,204,203,28159,25650,2306,0,1000,True,ht_chantry-random-5.scen,260
